,question_path,additional_question_paths,mark_scheme_paths,examiners_report,model_answer_link,qualification,subject,exam_board,paper,year,topic,marks_available,marks_gained
69,9fm0-02-que-20220609-09,[],"['9fm0-02-rms-20220818-09-01.jpg', '9fm0-02-rms-20220818-09-02.jpg', '9fm0-02-rms-20220818-09-03.jpg', '9fm0-02-rms-20220818-09-04.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Hyperbolic functions,8,{}
70,9fm0-02-que-20230606-01,[],['9fm0-02-rms-20230817-01-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Hyperbolic functions,4,{}
71,9fm0-02-que-20230606-02,[],"['9fm0-02-rms-20230817-02-01.jpg', '9fm0-02-rms-20230817-02-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Further algebra and functions,6,{}
72,9fm0-02-que-20230606-03,[],"['9fm0-02-rms-20230817-03-01.jpg', '9fm0-02-rms-20230817-03-02.jpg', '9fm0-02-rms-20230817-03-03.jpg', '9fm0-02-rms-20230817-03-04.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Matrices,10,{}
73,9fm0-02-que-20230606-04,[],"['9fm0-02-rms-20230817-04-01.jpg', '9fm0-02-rms-20230817-04-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Polar coordinates,7,{}
74,9fm0-02-que-20230606-05,[],"['9fm0-02-rms-20230817-05-01.jpg', '9fm0-02-rms-20230817-05-02.jpg', '9fm0-02-rms-20230817-05-03.jpg', '9fm0-02-rms-20230817-05-04.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Complex numbers,9,{}
75,9fm0-02-que-20230606-06,[],"['9fm0-02-rms-20230817-06-01.jpg', '9fm0-02-rms-20230817-06-02.jpg', '9fm0-02-rms-20230817-06-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Hyperbolic functions,6,{}
76,9fm0-02-que-20230606-07,[],"['9fm0-02-rms-20230817-07-01.jpg', '9fm0-02-rms-20230817-07-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Further calculus,8,{}
77,9fm0-02-que-20230606-08,[],"['9fm0-02-rms-20230817-08-01.jpg', '9fm0-02-rms-20230817-08-02.jpg', '9fm0-02-rms-20230817-08-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Complex numbers,11,{}
78,9fm0-02-que-20230606-09,[],"['9fm0-02-rms-20230817-09-01.jpg', '9fm0-02-rms-20230817-09-02.jpg', '9fm0-02-rms-20230817-09-03.jpg', '9fm0-02-rms-20230817-09-04.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2023,Differential equations,14,{}
79,9fm0-3b-que-20220618-01,[],['9fm0-3b-rms-20220818-01-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Chi squared tests,9,{}
80,9fm0-3b-que-20220618-02,[],['9fm0-3b-rms-20220818-02-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Discrete probability distributions,9,{}
81,9fm0-3b-que-20220618-03,[],['9fm0-3b-rms-20220818-03-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Poisson and binomial distributions,14,{}
82,9fm0-3b-que-20220618-04,[],['9fm0-3b-rms-20220818-04-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Geometric and negative binomial distributions,13,{}
83,9fm0-3b-que-20220618-05,[],['9fm0-3b-rms-20220818-05-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Geometric and negative binomial distributions,5,{}
84,9fm0-3b-que-20220618-06,[],"['9fm0-3b-rms-20220818-06-01.jpg', '9fm0-3b-rms-20220818-06-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Probability generating functions,14,{}
85,9fm0-3b-que-20220618-07,[],['9fm0-3b-rms-20220818-07-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2022,Hypothesis testing,11,{}
86,9fm0-3b-que-20230617-01,[],['9fm0-3b-rms-20230817-01-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Discrete probability distributions,9,{}
87,9fm0-3b-que-20230617-02,[],['9fm0-3b-rms-20230817-02-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Poisson and binomial distributions,11,{}
88,9fm0-3b-que-20230617-03,[],['9fm0-3b-rms-20230817-03-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Chi squared tests,15,{}
89,9fm0-3b-que-20230617-04,[],['9fm0-3b-rms-20230817-04-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Central limit theorem,6,{}
90,9fm0-3b-que-20230617-05,[],['9fm0-3b-rms-20230817-05-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Hypothesis testing,8,{}
91,9fm0-3b-que-20230617-06,[],['9fm0-3b-rms-20230817-06-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Probability generating functions,13,{}
92,9fm0-3b-que-20230617-07,[],['9fm0-3b-rms-20230817-07-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Statistics 1,2023,Geometric and negative binomial distributions,13,{}
93,9fm0-3c-que-20220623-01,[],"['9fm0-3c-rms-20220818-01-01.jpg', '9fm0-3c-rms-20220818-01-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Momentum and impulse,8,{}
94,9fm0-3c-que-20220623-02,[],['9fm0-3c-rms-20220818-02-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,"Work, energy and power",8,{}
95,9fm0-3c-que-20220623-03,[],"['9fm0-3c-rms-20220818-03-01.jpg', '9fm0-3c-rms-20220818-03-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Momentum and impulse,5,{}
96,9fm0-3c-que-20220623-04,[],"['9fm0-3c-rms-20220818-04-01.jpg', '9fm0-3c-rms-20220818-04-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Elastic collisions in two dimensions,9,{}
97,9fm0-3c-que-20220623-05,[],"['9fm0-3c-rms-20220818-05-01.jpg', '9fm0-3c-rms-20220818-05-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Elastic collisions in one dimension,10,{}
98,9fm0-3c-que-20220623-06,[],"['9fm0-3c-rms-20220818-06-01.jpg', '9fm0-3c-rms-20220818-06-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,"Work, energy and power",13,{}
99,9fm0-3c-que-20220623-07,[],"['9fm0-3c-rms-20220818-07-01.jpg', '9fm0-3c-rms-20220818-07-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,"Work, energy and power",12,{}
100,9fm0-3c-que-20220623-08,[],"['9fm0-3c-rms-20220818-08-01.jpg', '9fm0-3c-rms-20220818-08-02.jpg', '9fm0-3c-rms-20220818-08-03.jpg', '9fm0-3c-rms-20220818-08-04.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Elastic collisions in two dimensions,10,{}
101,9fm0-3c-que-20230615-01,[],"['9fm0-3c-rms-20230817-01-01.jpg', '9fm0-3c-rms-20230817-01-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Momentum and impulse,6,{}
102,9fm0-3c-que-20230615-02,[],['9fm0-3c-rms-20230817-02-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,"Work, energy and power",8,{}
103,9fm0-3c-que-20230615-03,[],"['9fm0-3c-rms-20230817-03-01.jpg', '9fm0-3c-rms-20230817-03-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic collisions in one dimension,10,{}
104,9fm0-3c-que-20230615-04,[],"['9fm0-3c-rms-20230817-04-01.jpg', '9fm0-3c-rms-20230817-04-02.jpg', '9fm0-3c-rms-20230817-04-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic strings and springs and elastic energy,13,{}
105,9fm0-3c-que-20230615-05,[],"['9fm0-3c-rms-20230817-05-01.jpg', '9fm0-3c-rms-20230817-05-02.jpg', '9fm0-3c-rms-20230817-05-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic collisions in two dimensions,10,{}
106,9fm0-3c-que-20230615-06,[],"['9fm0-3c-rms-20230817-06-01.jpg', '9fm0-3c-rms-20230817-06-02.jpg', '9fm0-3c-rms-20230817-06-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic collisions in two dimensions,12,{}
107,9fm0-3c-que-20230615-07,[],"['9fm0-3c-rms-20230817-07-01.jpg', '9fm0-3c-rms-20230817-07-02.jpg', '9fm0-3c-rms-20230817-07-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic collisions in two dimensions,14,{}
108,9fm0-3d-que-20220624-01-01,[],['9fm0-3d-rms-20220818-01-01.jpg'],,,A level,Further Maths,['Edexcel'],Decision 1,2022,Algorithms and graph theory,5,{}
109,9fm0-3d-que-20220624-02-01,[],"['9fm0-3d-rms-20220818-02-01.jpg', '9fm0-3d-rms-20220818-02-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2022,Algorithms on graphs,13,{}
110,9fm0-3d-que-20220624-03-01,['9fm0-3d-que-20220624-03-02.jpg'],"['9fm0-3d-rms-20220818-03-01.jpg', '9fm0-3d-rms-20220818-03-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2022,Algorithms on graphs,10,{}
111,9fm0-3d-que-20220624-04-01,[],['9fm0-3d-rms-20220818-04-01.jpg'],,,A level,Further Maths,['Edexcel'],Decision 1,2022,Linear programming,6,{}
112,9fm0-3d-que-20220624-05-01,['9fm0-3d-que-20220624-05-02.jpg'],"['9fm0-3d-rms-20220818-05-01.jpg', '9fm0-3d-rms-20220818-05-02.jpg', '9fm0-3d-rms-20220818-05-03.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2022,Critical path analysis,14,{}
113,9fm0-3d-que-20220624-06-01,['9fm0-3d-que-20220624-06-02.jpg'],"['9fm0-3d-rms-20220818-06-01.jpg', '9fm0-3d-rms-20220818-06-02.jpg', '9fm0-3d-rms-20220818-06-03.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2022,Algorithms and graph theory,12,{}
114,9fm0-3d-que-20220624-07-01,['9fm0-3d-que-20220624-07-02.jpg'],"['9fm0-3d-rms-20220818-07-01.jpg', '9fm0-3d-rms-20220818-07-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2022,Linear programming,15,{}
115,9fm0-3d-que-20230624-01-01,['9fm0-3d-que-20230624-01-02.jpg'],"['9fm0-3d-rms-20230817-01-01.jpg', '9fm0-3d-rms-20230817-01-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms and graph theory,7,{}
116,9fm0-3d-que-20230624-02-01,[],"['9fm0-3d-rms-20230817-02-01.jpg', '9fm0-3d-rms-20230817-02-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Critical path analysis,7,{}
117,9fm0-3d-que-20230624-03-01,[],"['9fm0-3d-rms-20230817-03-01.jpg', '9fm0-3d-rms-20230817-03-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms on graphs,8,{}
118,9fm0-3d-que-20230624-04-01,[],"['9fm0-3d-rms-20230817-04-01.jpg', '9fm0-3d-rms-20230817-04-02.jpg', '9fm0-3d-rms-20230817-04-03.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms and graph theory,12,{}
119,9fm0-3d-que-20230624-05-01,['9fm0-3d-que-20230624-05-02.jpg'],"['9fm0-3d-rms-20230817-05-01.jpg', '9fm0-3d-rms-20230817-05-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms on graphs,13,{}
120,9fm0-3d-que-20230624-06-01,['9fm0-3d-que-20230624-06-02.jpg'],"['9fm0-3d-rms-20230817-06-01.jpg', '9fm0-3d-rms-20230817-06-02.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Critical path analysis,9,{}
121,9fm0-3d-que-20230624-07-01,"['9fm0-3d-que-20230624-07-02.jpg', '9fm0-3d-que-20230624-07-03.jpg']","['9fm0-3d-rms-20230817-07-01.jpg', '9fm0-3d-rms-20230817-07-02.jpg', '9fm0-3d-rms-20230817-07-03.jpg']",,,A level,Further Maths,['Edexcel'],Decision 1,2023,Linear programming,19,{}
